Week,Match,Season XXIV,Start Date:,7/15/19,,
1,1,Wolf Splitzers,Gutter Mouths,,Bowltron,A
1,2,E-Bowla,Mom Ballerz,,Gutter Mouths,A
1,3,Bowling Stones,Bowltron,,Bowling Stones,A
1,4,The Boom Kings,Gutterglory,,Bowl'd Peanuts,A
1,5,Bowl'd Peanuts,Village Idiots,,Sparadigm Shift,A
1,6,Hot Shotz,Valley Of The Balls,,Wolf Splitzers,A
1,7,Sparadigm Shift,Pin-Ups,,The Guttersnipes,A
1,8,The Guttersnipes,Jive Turkeys,,Village Idiots,A
1,9,Lucky Strikes,Stinky Cheese,,Jive Turkeys,A
1,10,Wild Llamas,Fancy Pants,,Pin-Ups,A
2,11,Mom Ballerz,Gutterglory,,Wild Llamas,B
2,12,Fancy Pants,Stinky Cheese,,Hot Shotz,B
2,13,Gutter Mouths,Jive Turkeys,,Stinky Cheese,B
2,14,Bowling Stones,The Guttersnipes,,Lucky Strikes,B
2,15,Wild Llamas,Valley Of The Balls,,Mom Ballerz,B
2,16,Wolf Splitzers,Village Idiots,,Gutterglory,B
2,17,E-Bowla,Lucky Strikes,,The Boom Kings,B
2,18,Hot Shotz,The Boom Kings,,Valley of the Balls,B
2,19,Bowl'd Peanuts,Sparadigm Shift,,E-Bowla,B
2,20,Bowltron,Pin-Ups,,Fancy Pants,B
3,21,Gutterglory,Stinky Cheese,,,
3,22,Mom Ballerz,Valley Of The Balls,,,
3,23,Wolf Splitzers,Sparadigm Shift,,,
3,24,Bowltron,Village Idiots,,,
3,25,Wild Llamas,The Boom Kings,,,
3,26,Pin-Ups,Jive Turkeys,,,
3,27,Fancy Pants,Lucky Strikes,,,
3,28,E-Bowla,Hot Shotz,,,
3,29,Bowling Stones,Bowl'd Peanuts,,,
3,30,Gutter Mouths,The Guttersnipes,,,
4,31,Gutter Mouths,Bowltron,,,
4,32,Wolf Splitzers,Pin-Ups,,,
4,33,Wild Llamas,Gutterglory,,,
4,34,E-Bowla,Stinky Cheese,,,
4,35,The Guttersnipes,Bowl'd Peanuts,,,
4,36,Fancy Pants,Mom Ballerz,,,
4,37,Bowling Stones,Jive Turkeys,,,
4,38,Sparadigm Shift,Village Idiots,,,
4,39,The Boom Kings,Valley Of The Balls,,,
4,40,Lucky Strikes,Hot Shotz,,,
5,41,Village Idiots,Pin-Ups,,,
5,42,Bowling Stones,Wolf Splitzers,,,
5,43,E-Bowla,Wild Llamas,,,
5,44,Valley Of The Balls,Gutterglory,,,
5,45,Sparadigm Shift,Gutter Mouths,,,
5,46,Stinky Cheese,Hot Shotz,,,
5,47,Jive Turkeys,Bowl'd Peanuts,,,
5,48,The Guttersnipes,Bowltron,,,
5,49,Lucky Strikes,Mom Ballerz,,,
5,50,The Boom Kings,Fancy Pants,,,
6,51,Village Idiots,The Guttersnipes,,,
6,52,Jive Turkeys,Sparadigm Shift,,,
6,53,Stinky Cheese,The Boom Kings,,,
6,54,Fancy Pants,Hot Shotz,,,
6,55,Pin-Ups,Bowling Stones,,,
6,56,Valley Of The Balls,Lucky Strikes,,,
6,57,Gutter Mouths,Bowl'd Peanuts,,,
6,58,Bowltron,Wolf Splitzers,,,
6,59,Mom Ballerz,Wild Llamas,,,
6,60,Gutterglory,E-Bowla,,,
7,61,Hot Shotz,Wild Llamas,,,
7,62,Fancy Pants,E-Bowla,,,
7,63,Bowl'd Peanuts,Wolf Splitzers,,,
7,64,Bowltron,Sparadigm Shift,,,
7,65,Gutterglory,Lucky Strikes,,,
7,66,Gutter Mouths,Bowling Stones,,,
7,67,Mom Ballerz,The Boom Kings,,,
7,68,Stinky Cheese,Valley Of The Balls,,,
7,69,Jive Turkeys,Village Idiots,,,
7,70,Pin-Ups,The Guttersnipes,,,
8,71,The Boom Kings,E-Bowla,,,
8,72,Hot Shotz,Gutterglory,,,
8,73,Bowl'd Peanuts,Pin-Ups,,,
8,74,The Guttersnipes,Wolf Splitzers,,,
8,75,Stinky Cheese,Mom Ballerz,,,
8,76,Jive Turkeys,Bowltron,,,
8,77,Village Idiots,Gutter Mouths,,,
8,78,Lucky Strikes,Wild Llamas,,,
8,79,Valley Of The Balls,Fancy Pants,,,
8,80,Sparadigm Shift,Bowling Stones,,,
9,81,Valley Of The Balls,E-Bowla,,,
9,82,Lucky Strikes,The Boom Kings,x,,
9,83,Village Idiots,Bowling Stones,,,
9,84,Jive Turkeys,Wolf Splitzers,x,,
9,85,Hot Shotz,Mom Ballerz,,,
9,86,Pin-Ups,Gutter Mouths,x,,
9,87,Stinky Cheese,Wild Llamas,,,
9,88,Gutterglory,Fancy Pants,,,
9,89,The Guttersnipes,Sparadigm Shift,x,,
9,90,Bowl'd Peanuts,Bowltron,,,