SPLITZKRIEG SCHEDULE SEASON XXII,,,,,,,,
,,,,Lane,,,,Lane
,,,,,,,,
16-Jul,,Sparadigm Shift,Bowling Stones,25/26,24-Sep,Hot Shotz,The Guttersnipes,25/26
,,Gutterglory,Village Idiots,23/24,,Bowl'd Peanuts,Big Bowler Brand,23/24
,,Valley Of The Balls,Big Bowler Brand,21/22,,Gutter Mouths,Village Idiots,21/22
,,Mom Ballerz,Bowl'd Peanuts,19/20,,Bowling Stones,Fancy Pants,19/20
,,Fancy Pants,Jive Turkeys,17/18,,Mom Ballerz,Valley Of The Balls,17/18
,,Stinky Cheese,The Guttersnipes,15/16,,Strichael Bowlton,Jive Turkeys,15/16
,,Lucky Strikes,Hot Shotz,13/14,,Pin-Ups,Stinky Cheese,13/14
,,Bowltron,Gutter Mouths,11/12,,The Boom Kings,Lucky Strikes,11/12
,,E-Bowla,Strichael Bowlton,9/10,,Sparadigm Shift,E-Bowla,9/10
,,The Boom Kings,Pin-Ups,7/8,,Bowltron,Gutterglory,7/8
,,,,,,,,
30-Jul,,E-Bowla,Bowling Stones,25/26,8-Oct,Jive Turkeys,Village Idiots,25/26
,,Bowltron,Sparadigm Shift,23/24,,Strichael Bowlton,Fancy Pants,23/24
,,Lucky Strikes,Pin-Ups,21/22,,Hot Shotz,Stinky Cheese,21/22
,,Stinky Cheese,Bowl'd Peanuts,19/20,,Pin-Ups,Mom Ballerz,19/20
,,Gutterglory,Jive Turkeys,17/18,,Gutter Mouths,E-Bowla,17/18
,,Big Bowler Brand,Hot Shotz,15/16,,Bowl'd Peanuts,Lucky Strikes,15/16
,,Fancy Pants,Gutter Mouths,13/14,,Bowling Stones,Bowltron,13/14
,,Village Idiots,Strichael Bowlton,11/12,,Gutterglory,Sparadigm Shift,11/12
,,Mom Ballerz,The Boom Kings,9/10,,Valley Of The Balls,The Boom Kings,9/10
,,Valley Of The Balls,The Guttersnipes,7/8,,The Guttersnipes,Big Bowler Brand,7/8
,,,,,,,,
13-Aug,,Gutterglory,Gutter Mouths,25/26,22-Oct,Valley Of The Balls,Lucky Strikes,25/26
,,Strichael Bowlton,Bowling Stones,23/24,,Bowling Stones,Jive Turkeys,23/24
,,Valley Of The Balls,Bowl'd Peanuts,21/22,,Pin-Ups,The Guttersnipes,21/22
,,The Guttersnipes,The Boom Kings,19/20,,Sparadigm Shift,Village Idiots,19/20
,,Village Idiots,Bowltron,17/18,,Bowl'd Peanuts,Hot Shotz,17/18
,,Hot Shotz,Pin-Ups,15/16,,Gutterglory,E-Bowla,15/16
,,Jive Turkeys,Sparadigm Shift,13/14,,The Boom Kings,Big Bowler Brand,13/14
,,Fancy Pants,E-Bowla,11/12,,Mom Ballerz,Stinky Cheese,11/12
,,Stinky Cheese,Lucky Strikes,9/10,,Bowltron,Fancy Pants,9/10
,,Big Bowler Brand,Mom Ballerz,7/8,,Gutter Mouths,Strichael Bowlton,7/8
,,,,,,,,
27-Aug,,Village Idiots,Fancy Pants,25/26,5-Nov,Lucky Strikes,Mom Ballerz,25/26
,,Jive Turkeys,E-Bowla,23/24,,Stinky Cheese,The Boom Kings,23/24
,,Bowl'd Peanuts,The Boom Kings,21/22,,Fancy Pants,Sparadigm Shift,21/22
,,The Guttersnipes,Lucky Strikes,19/20,,Strichael Bowlton,Gutterglory,19/20
,,Gutter Mouths,Sparadigm Shift,17/18,,Big Bowler Brand,Pin-Ups,17/18
,,Big Bowler Brand,Stinky Cheese,15/16,,E-Bowla,Bowltron,15/16
,,Strichael Bowlton,Bowltron,13/14,,Hot Shotz,Valley Of The Balls,13/14
,,Bowling Stones,Gutterglory,11/12,,The Guttersnipes,Bowl'd Peanuts,11/12
,,Pin-Ups,Valley Of The Balls,9/10,,Jive Turkeys,Gutter Mouths,9/10
,,Hot Shotz,Mom Ballerz,7/8,,Village Idiots,Bowling Stones,7/8
,,,,,,,,
10-Sep,,Stinky Cheese,Valley Of The Balls,25/26,12-Nov,Playoffs (1st rd),,
,,Pin-Ups,Bowl'd Peanuts,23/24,19-Nov,Playoffs (Finals),,
,,Bowling Stones,Gutter Mouths,21/22,,,,
,,E-Bowla,Village Idiots,19/20,,If you are down a,,
,,The Boom Kings,Hot Shotz,17/18,,bowler (best to ,,
,,Fancy Pants,Gutterglory,15/16,,worst solution):,,
,,Lucky Strikes,Big Bowler Brand,13/14,,1. Eligible Subs,,
,,Mom Ballerz,The Guttersnipes,11/12,,2. Prebowling ,,
,,Bowltron,Jive Turkeys,9/10,,3. New Subs ,,
,,Sparadigm Shift,Strichael Bowlton,7/8,,4. Penalty,,