Season,Champion,Runner Up,Semi-Finalist,Semi-Finalist
I,Bull City Balsa,Hot Shotz,Pin-Ups,Ten Pin Teasers
II,Pin Pricks,Gutterglory,Hot Shotz,Ten Pin Teasers
III,E-Bowla,Pin-Ups,Bowl'd Peanuts,Solid Bowled
IV,E-Bowla,Village Idiots,Hot Shotz,Solid Bowled
V,Gutterglory,Guttermouths,Spare Club For Men,Sparely Legal
VI,Jive Turkeys,Lucky Strikes,E-Bowla,Fancy Pants
VII,Guttermouths,Spare Club For Men,Bowl'd Peanuts,Vandal-Lane Industries
VIII,Sparely Legal,Fancy Pants,Lucky Strikes,Solid Bowled
IX,Pin Pricks,Guttermouths,Thoughts and Spares,Vandal-Lane Industries
X,The Boom Kings,Sparely Legal,Roll Your Own,Thoughts and Spares
XI,Thoughts and Spares,The Boom Kings,Hot Shotz,Solid Bowled
XII,Thoughts and Spares,E-Bowla,Gutterglory,Wild Llamas
XIII,Valley of the Balls,Wild Llamas,Fancy Pants,Gutterglory
XIV,Bowl'd Peanuts,Valley of the Balls,Jive Turkeys,Lucky Strikes
XV,Sparely Legal,Wild Llamas,Hot Shotz,The Boom Kings
XVI,Stinky Cheese,Jive Turkeys,Pin-Ups,Vandal-Lane Industries
XVII,Bowl'd Peanuts,Thoughts and Spares,Sparely Legal,Vandal-Lane Industries
XVIII,Valley of the Balls,Thoughts and Spares,Vandal-Lane Industries,Wild Llamas
XIX,Village Idiots,Pin-Ups,Thoughts and Spares,Wild Llamas
XX,Gutterglory,Stinky Cheese,Bowl'd Peanuts,Jive Turkeys
XXI,Sparadigm Shift,Village Idiots,The Guttersnipes,Valley of the Balls
XXII,The Boom Kings,Vandal-Lane Industries,Fancy Pants,Stinky Cheese
XXIII,Wild Llamas,Gutterglory,Smoke-A-Bowl,Thoughts and Spares
XXIV,Bowl'd Peanuts,Lucky Strikes,Fancy Pants,Smoke-A-Bowl
XXV,-,,,
XXVI,Stinky Cheese,Thoughts and Spares,Sparadigm Shift,The Boom Kings
XXVII,Stinky Cheese,Vandal-Lane Industries,Alley-Oops,Thoughts and Spares
XXVIII,Valley of the Balls,Stinky Cheese,E-Bowla,Fancy Pants
XXIX,The Boom Kings,Stinky Cheese,Fancy Pants,Sparadigm Shift
XXX,Guttermouths,Valley of the Balls,Pin-Ups,Thoughts and Spares
XXXI,Valley of the Balls,Hot Shotz,Bowl Durham,Thoughts and Spares
XXXII,Stinky Cheese,Pin-Ups,Grandma's Teeth,Guttermouths
XXXIII,Bowlonomics,E-Bowla,Smoke-A-Bowl,Stinky Cheese
XXXIV,Grandma's Teeth,Guttersnipes,Bowlonomics,Pin-Ups