SPLITZKRIEG SCHEDULE SEASON XII,,,,,,,,,,
,,,Lane,,,,Lane,,,
,,,,,,,,,team,division
15-Jul,Village Idiots,The Guttersnipes,39/40,23-Sep,Sparely Legal,The Boom Kings,39/40,,E-Bowla,A
,The Boom Kings,Wolf Splitzers,37/38,,Wild Llamas,Village Idiots,37/38,,Wild Llamas,A
,Wild Llamas,Pin-Ups,35/36,,Wolf Splitzers,Pin Pricks,35/36,,Village Idiots,A
,Valley of the Balls,Gutterglory,33/34,,Fancy Pants,Roll Your Own,33/34,,Lucky Strikes,A
,Fancy Pants,Bull City Rollers,31/32,,Pin-Ups,Solid Bowled,31/32,,Solid Bowled,A
,Roll Your Own,Pin Pricks,29/30,,Hot Shotz,Lucky Strikes,29/30,,Pin-Ups,A
,Bowl'd Peanuts,Lucky Strikes,27/28,,Jive Turkeys,The Guttersnipes,27/28,,Bowl'd Peanuts,A
,E-Bowla,Jive Turkeys,25/26,,Bull City Rollers,Gutterglory,25/26,,Jive Turkeys,A
,Gutter Mouths,Sparely Legal,23/24,,E-Bowla,Bowl'd Peanuts,23/24,,The Guttersnipes,A
,Solid Bowled,Hot Shotz,21/22,,Gutter Mouths,Valley of the Balls,21/22,,Hot Shotz,A
,,,,,,,,,,
29-Jul,Wolf Splitzers,Fancy Pants,39/40,7-Oct,Lucky Strikes,Jive Turkeys,39/40,,Wolf Splitzers,B
,The Guttersnipes,Bowl'd Peanuts,37/38,,Valley of the Balls,Fancy Pants,37/38,,Gutterglory,B
,Gutterglory,Roll Your Own,35/36,,Roll Your Own,Wolf Splitzers,35/36,,Sparely Legal,B
,Sparely Legal,Valley of the Balls,33/34,,Solid Bowled,Wild Llamas,33/34,,Bull City Rollers,B
,Pin Pricks,The Boom Kings,31/32,,Pin Pricks,Bull City Rollers,31/32,,The Boom Kings,B
,Lucky Strikes,Solid Bowled,29/30,,The Guttersnipes,Pin-Ups,29/30,,Gutter Mouths,B
,Hot Shotz,E-Bowla,27/28,,Village Idiots,E-Bowla,27/28,,Roll Your Own,B
,Jive Turkeys,Wild Llamas,25/26,,Gutterglory,Sparely Legal,25/26,,Valley of the Balls,B
,Pin-Ups,Village Idiots,23/24,,The Boom Kings,Gutter Mouths,23/24,,Fancy Pants,B
,Bull City Rollers,Gutter Mouths,21/22,,Bowl'd Peanuts,Hot Shotz,21/22,,Pin Pricks,B
,,,,,,,,,,
12-Aug,Solid Bowled,Bowl'd Peanuts,39/40,21-Oct,Sparely Legal,Bull City Rollers,39/40,,,
,The Boom Kings,Roll Your Own,37/38,,The Guttersnipes,Hot Shotz,37/38,,,
,Pin Pricks,Valley of the Balls,35/36,,Pin-Ups,Jive Turkeys,35/36,,,
,Gutterglory,Gutter Mouths,33/34,,Lucky Strikes,E-Bowla,33/34,,,
,Sparely Legal,Fancy Pants,31/32,,Valley of the Balls,The Boom Kings,31/32,,,
,Jive Turkeys,Hot Shotz,29/30,,Gutterglory,Wolf Splitzers,29/30,,,
,Bull City Rollers,Wolf Splitzers,27/28,,Bowl'd Peanuts,Wild Llamas,27/28,,,
,The Guttersnipes,Wild Llamas,25/26,,Village Idiots,Solid Bowled,25/26,,,
,Pin-Ups,E-Bowla,23/24,,Roll Your Own,Gutter Mouths,23/24,,,
,Lucky Strikes,Village Idiots,21/22,,Pin Pricks,Fancy Pants,21/22,,,
,,,,,,,,,,
26-Aug,Pin Pricks,Gutterglory,39/40,4-Nov,E-Bowla,Wild Llamas,39/40,,,
,Gutter Mouths,Wolf Splitzers,37/38,,Solid Bowled,The Guttersnipes,37/38,,,
,Lucky Strikes,The Guttersnipes,35/36,,Bull City Rollers,Roll Your Own,35/36,,,
,Village Idiots,Jive Turkeys,33/34,,Fancy Pants,Gutter Mouths,33/34,,,
,Wild Llamas,Hot Shotz,31/32,,Wolf Splitzers,Valley of the Balls,31/32,,,
,Bowl'd Peanuts,Pin-Ups,29/30,,Jive Turkeys,Bowl'd Peanuts,29/30,,,
,Roll Your Own,Sparely Legal,27/28,,Pin-Ups,Lucky Strikes,27/28,,,
,Valley of the Balls,Bull City Rollers,25/26,,Hot Shotz,Village Idiots,25/26,,,
,Fancy Pants,The Boom Kings,23/24,,Sparely Legal,Pin Pricks,23/24,,,
,E-Bowla,Solid Bowled,21/22,,The Boom Kings,Gutterglory,21/22,,,
,,,,,,,,,,
9-Sep,Valley of the Balls,Roll Your Own,39/40,11-Nov,Playoffs,,,,,
,Fancy Pants,Gutterglory,37/38,18-Nov,Playoffs,,,,,
,Solid Bowled,Jive Turkeys,35/36,,,,,,,
,Village Idiots,Bowl'd Peanuts,33/34,,If you are down a,,,,,
,E-Bowla,The Guttersnipes,31/32,,bowler (best to ,,,,,
,Hot Shotz,Pin-Ups,29/30,,worst solution):,,,,,
,The Boom Kings,Bull City Rollers,27/28,,1. Eligible Subs,,,,,
,Gutter Mouths,Pin Pricks,25/26,,2. Prebowling ,,,,,
,Wolf Splitzers,Sparely Legal,23/24,,3. New Subs ,,,,,
,Wild Llamas,Lucky Strikes,21/22,,4. Penalty,,,,,