SPLITZKRIEG SCHEDULE SEASON XVII,,,,,,,,,,
,,,Lane,,,,Lane,,Division,team
,,,,,,,,,A,Bowl'd Peanuts
11-Jan,Werewolf Splitzers,The Boom Kings,25/26,21-Mar,Solid Bowled,Lucky Strikes,25/26,,A,Bull City Rollers
,Fancy Pants,Jive Turkeys,23/24,,Bull City Rollers,Gutter Mouths,23/24,,A,Hot Shotz
,Pin-Ups,Wild Llamas,21/22,,Stinky Cheese,Bowl'd Peanuts,21/22,,A,Stinky Cheese
,Sparely Legal,E-Bowla,19/20,,Mom Ballerz,Gutterglory,19/20,,A,Gutterglory
,The Guttersnipes,Village Idiots,17/18,,Hot Shotz,Valley Of The Balls,17/18,,A,Valley of the Balls
,Gutterglory,Solid Bowled,15/16,,Village Idiots,Wild Llamas,15/16,,A,Lucky Strikes
,Stinky Cheese,Bull City Rollers,13/14,,Jive Turkeys,E-Bowla,13/14,,A,Mom Ballerz
,Valley Of The Balls,Lucky Strikes,11/12,,Fancy Pants,Sparely Legal,11/12,,A,Gutter Mouths
,Bowl'd Peanuts,Gutter Mouths,9/10,,Werewolf Splitzers,The Guttersnipes,9/10,,A,Solid Bowled
,Mom Ballerz,Hot Shotz,7/8,,The Boom Kings,Pin-Ups,7/8,,,
,,,,,,,,,,
25-Jan,Stinky Cheese,Mom Ballerz,25/26,4-Apr,E-Bowla,Pin-Ups,25/26,,B,Sparely Legal
,Gutterglory,Hot Shotz,23/24,,Sparely Legal,The Boom Kings,23/24,,B,Werewolf Splitzers
,Valley Of The Balls,Bull City Rollers,21/22,,Wild Llamas,The Guttersnipes,21/22,,B,Village Idiots
,Gutter Mouths,Solid Bowled,19/20,,Village Idiots,Fancy Pants,19/20,,B,Pin-Ups
,Lucky Strikes,Bowl'd Peanuts,17/18,,Jive Turkeys,Werewolf Splitzers,17/18,,B,E-Bowla
,Fancy Pants,Werewolf Splitzers,15/16,,Bull City Rollers,Mom Ballerz,15/16,,B,The Boom Kings
,The Guttersnipes,The Boom Kings,13/14,,Bowl'd Peanuts,Hot Shotz,13/14,,B,The Guttersnipes
,Pin-Ups,Jive Turkeys,11/12,,Lucky Strikes,Gutterglory,11/12,,B,Jive Turkeys
,E-Bowla,Village Idiots,9/10,,Solid Bowled,Stinky Cheese,9/10,,B,Fancy Pants
,Wild Llamas,Sparely Legal,7/8,,Gutter Mouths,Valley Of The Balls,7/8,,B,Wild Llamas
,,,,,,,,,,
8-Feb,The Boom Kings,Jive Turkeys,25/26,18-Apr,Bowl'd Peanuts,Solid Bowled,25/26,,,
,Fancy Pants,Wild Llamas,23/24,,Valley Of The Balls,Mom Ballerz,23/24,,,
,Werewolf Splitzers,Village Idiots,21/22,,Gutter Mouths,Hot Shotz,21/22,,,
,Pin-Ups,Sparely Legal,19/20,,Lucky Strikes,Bull City Rollers,19/20,,,
,The Guttersnipes,E-Bowla,17/18,,Gutterglory,Stinky Cheese,17/18,,,
,Hot Shotz,Bull City Rollers,15/16,,Sparely Legal,Village Idiots,15/16,,,
,Gutterglory,Gutter Mouths,13/14,,Pin-Ups,Werewolf Splitzers,13/14,,,
,Mom Ballerz,Solid Bowled,11/12,,E-Bowla,The Boom Kings,11/12,,,
,Valley Of The Balls,Bowl'd Peanuts,9/10,,Wild Llamas,Jive Turkeys,9/10,,,
,Stinky Cheese,Lucky Strikes,7/8,,The Guttersnipes,Fancy Pants,7/8,,,
,,,,,,,,,,
22-Feb,Bull City Rollers,Bowl'd Peanuts,25/26,2-May,Fancy Pants,Pin-Ups,25/26,,,
,Valley Of The Balls,Gutterglory,23/24,,Sparely Legal,The Guttersnipes,23/24,,,
,Solid Bowled,Hot Shotz,21/22,,Werewolf Splitzers,E-Bowla,21/22,,,
,Lucky Strikes,Mom Ballerz,19/20,,Jive Turkeys,Village Idiots,19/20,,,
,Gutter Mouths,Stinky Cheese,17/18,,The Boom Kings,Wild Llamas,17/18,,,
,Jive Turkeys,Sparely Legal,15/16,,Stinky Cheese,Valley Of The Balls,15/16,,,
,Pin-Ups,The Guttersnipes,13/14,,Bowl'd Peanuts,Gutterglory,13/14,,,
,Village Idiots,The Boom Kings,11/12,,Mom Ballerz,Gutter Mouths,11/12,,,
,Wild Llamas,Werewolf Splitzers,9/10,,Bull City Rollers,Solid Bowled,9/10,,,
,E-Bowla,Fancy Pants,7/8,,Hot Shotz,Lucky Strikes,7/8,,,
,,,,,,,,,,
7-Mar,Village Idiots,Pin-Ups,25/26,9-May,Playoffs (1st rd),,,,,
,Wild Llamas,E-Bowla,23/24,16-May,Playoffs (Finals),,,,,
,Jive Turkeys,The Guttersnipes,21/22,,,,,,,
,The Boom Kings,Fancy Pants,19/20,,If you are down a,,,,,
,Sparely Legal,Werewolf Splitzers,17/18,,bowler (best to ,,,,,
,Hot Shotz,Stinky Cheese,15/16,,worst solution):,,,,,
,Solid Bowled,Valley Of The Balls,13/14,,1. Eligible Subs,,,,,
,Bull City Rollers,Gutterglory,11/12,,2. Prebowling ,,,,,
,Lucky Strikes,Gutter Mouths,9/10,,3. New Subs ,,,,,
,Bowl'd Peanuts,Mom Ballerz,7/8,,4. Penalty,,,,,