Season,Division,Team,CSV Rank,CSV Wins,CSV XP,CSV Total,Computed Wins,Computed XP,Computed Total,Win Diff,XP Diff,Total Diff,Computed Rank,Rank Change
XXVI,A,"Stinky Cheese",1,17,19,53,17,19,53,0,0,0,1,0
XXVI,A,"The Boom Kings",2,15,18,48,16,18,50,1,0,2,2,0
XXVI,A,"Gutter Mouths",3,16.5,12,45,16.5,13,46,0,1,1,3,0
XXVI,A,"E-Bowla",4,14,16,44,14,16,44,0,0,0,4,0
XXVI,A,"Valley of the Balls",5,15,13,43,14,13,41,-1,0,-2,5,0
XXVI,A,"Vandal-Lane Industries",6,12.5,15,40,12,14,38,-0.5,-1,-2,6,0
XXVI,A,"The Guttersnipes",7,11,9,31,11.5,10,33,0.5,1,2,7,0
XXVI,A,"Lucky Strikes",8,8.5,9,26,7.5,10,25,-1,1,-1,8,0
XXVI,A,"Pin-Ups",9,5.5,8,19,6,7,19,0.5,-1,0,9,0
XXVI,B,"Sparadigm Shift",1,18,18,54,19,21,59,1,3,5,1,0
XXVI,B,"Wolf Splitzers",2,17,16,50,17,16,50,0,0,0,2,0
XXVI,B,"Gutterglory",3,16,17,49,16,18,50,0,1,1,2,1
XXVI,B,"Sparely Legal",4,14.5,17,46,12.5,17,42,-2,0,-4,6,-2
XXVI,B,"Wild Llamas",4,16,14,46,15,16,46,-1,2,0,5,-1
XXVI,B,"Pindemics",6,13.5,13,40,17,13,47,3.5,0,7,4,2
XXVI,B,"Hot Shotz",7,13,13,39,12.5,14,39,-0.5,1,0,7,0
XXVI,B,"Fancy Pants",8,9,11,29,8.5,10,27,-0.5,-1,-2,9,-1
XXVI,B,"Village COVIDiots",9,10,7,27,11,7,29,1,0,2,8,1
XXVII,A,"Wolf Splitzers",1,13,13,39,13,12,38,0,-1,-1,1,0
XXVII,A,"Stinky Cheese",2,8,13,29,8,13,29,0,0,0,2,0
XXVII,A,"Sparely Legal",3,6,10,22,6,9,21,0,-1,-1,3,0
XXVII,A,"Smoke-a-Bowl",4,7,6,20,7,7,21,0,1,1,3,1
XXVII,A,"Gutter Mouths",5,6,4,16,6,2,14,0,-2,-2,6,-1
XXVII,A,"Pindemix",6,5,5,15,5,5,15,0,0,0,5,1
XXVII,B,"Vandal-Lane Industries",1,9.5,9,28,10,9,29,0.5,0,1,1,0
XXVII,B,"Wild Llamas",1,8,12,28,8,12,28,0,0,0,2,-1
XXVII,B,"Gutterglory",4,9,7,25,9,5,23,0,-2,-2,4,0
XXVII,B,"Sparadigm Shift",3,8,10,26,8,10,26,0,0,0,3,0
XXVII,B,"The Boom Kings",5,6,8,20,6,6,18,0,-2,-2,5,0
XXVII,B,"E-Bowla",6,4.5,7,16,4,4,12,-0.5,-3,-4,6,0
XXVII,C,"Alley-Oops",1,12,10,34,12,11,35,0,1,1,1,0
XXVII,C,"Lucky Strikes",2,8,12,28,8,11,27,0,-1,-1,2,0
XXVII,C,"Hot Shotz",3,8,6,22,8,6,22,0,0,0,3,0
XXVII,C,"The Guttersnipes",4,8,4,20,8,4,20,0,0,0,4,0
XXVII,C,"Bowl'd Peanuts",5,6,5,17,6,5,17,0,0,0,5,0
XXVII,C,"Pin-Ups",6,3,9,15,3,9,15,0,0,0,6,0
XXVIII,A,"Valley of the Balls",1,18,20,56,17.5,20,55,-0.5,0,-1,1,0
XXVIII,A,"Fancy Pants",2,19.5,14,53,20,14,54,0.5,0,1,2,0
XXVIII,A,"Wolf Splitzers",3,17,18,52,17,17,51,0,-1,-1,3,0
XXVIII,A,"The Guttersnipes",4,13,17,43,13,17,43,0,0,0,4,0
XXVIII,A,"Vandal-Lane Industries",5,14,13,41,14,13,41,0,0,0,5,0
XXVIII,A,"Pin-Ups",6,15,9,39,15,9,39,0,0,0,6,0
XXVIII,A,"Lucky Strikes",7,12.5,13,38,12.5,13,38,0,0,0,7,0
XXVIII,A,"Gutter Mouths",8,9,12,30,9,12,30,0,0,0,8,0
XXVIII,A,"Hot Shotz",9,8,13,29,8,12,28,0,-1,-1,9,0
XXVIII,A,"Sparely Legal",10,9,6,24,9,4,22,0,-2,-2,10,0
XXVIII,B,"E-Bowla",1,18,19,55,18,20,56,0,1,1,1,0
XXVIII,B,"Stinky Cheese",2,17,20,54,16,20,52,-1,0,-2,2,0
XXVIII,B,"Alley Oops",3,16.5,18,51,16.5,18,51,0,0,0,3,0
XXVIII,B,"The Ghoulers",4,14,14,42,14,14,42,0,0,0,5,-1
XXVIII,B,"Wild Llamas",5,13.5,14,41,14,16,44,0.5,2,3,4,1
XXVIII,B,"Gutterglory",6,14,11,39,14,11,39,0,0,0,6,0
XXVIII,B,"The Boom Kings",7,13,11,37,14,11,39,1,0,2,6,1
XXVIII,B,"Sparadigm Shift",8,11.5,12,35,12,12,36,0.5,0,1,8,0
XXVIII,B,"Bowl'd Peanuts",9,12,8,32,11.5,8,31,-0.5,0,-1,9,0
XXVIII,B,"Smoke-A-Bowl",10,5.5,9,20,5,9,19,-0.5,0,-1,10,0
XXIX,A,"Sparadigm Shift",1,18,20,56,19,20,58,1,0,2,1,0
XXIX,A,"Stinky Cheese",2,19,16,54,21,15,57,2,-1,3,2,0
XXIX,A,"Vandal-Lane Industries",3,15,17,47,14,17,45,-1,0,-2,4,-1
XXIX,A,"Hot Shotz",4,15,13,43,15.5,15,46,0.5,2,3,3,1
XXIX,A,"Wolf Splitzers",5,12,14,38,12,14,38,0,0,0,5,0
XXIX,A,"Smoke-A-Bowl",6,11,14,36,11.5,14,37,0.5,0,1,6,0
XXIX,A,"Valley of the Balls",7,12,11,35,11.5,11,34,-0.5,0,-1,7,0
XXIX,A,"Gutterglory",8,11,11,33,11,11,33,0,0,0,8,0
XXIX,A,"The Manute Bowlers",9,10,11,31,10.5,11,32,0.5,0,1,9,0
XXIX,A,"Lucky Strikes",10,9,11,29,9,11,29,0,0,0,10,0
XXIX,B,"Fancy Pants",1,17,21,55,17,22,56,0,1,1,1,0
XXIX,B,"The Boom Kings",2,15,17,47,15,17,47,0,0,0,2,0
XXIX,B,"Pin-Ups",3,16,14,46,16,14,46,0,0,0,3,0
XXIX,B,"The Guttersnipes",4,15,15,45,15,14,44,0,-1,-1,4,0
XXIX,B,"Gutter Mouths",5,14,13,41,14,13,41,0,0,0,5,0
XXIX,B,"Wild Llamas",6,14,12,40,14,12,40,0,0,0,6,0
XXIX,B,"E-Bowla",7,13,9,35,13,10,36,0,1,1,7,0
XXIX,B,"Bowl Durham",8,13,8,34,12.5,8,33,-0.5,0,-1,8,0
XXIX,B,"Alley Oops",9,10,9,29,11,9,31,1,0,2,9,0
XXIX,B,"Bowl'd Peanuts",10,7,13,27,7.5,12,27,0.5,-1,0,10,0
XXX,A,"Valley of the Balls",1,19,22,60,18,22,58,-1,0,-2,1,0
XXX,A,"Wolf Splitzers",2,15,17,47,15.5,16,47,0.5,-1,0,2,0
XXX,A,"Bowl Durham",2,14.5,18,47,14,18,46,-0.5,0,-1,3,-1
XXX,A,"Grandma's Teeth",4,14,15,43,14.5,15,44,0.5,0,1,4,0
XXX,A,"The Boom Kings",5,14,14,42,14,15,43,0,1,1,5,0
XXX,A,"Wild Llamas",6,16,8,40,16,8,40,0,0,0,6,0
XXX,A,"The Manute Bowlers",7,12,13,37,12.5,11,36,0.5,-2,-1,7,0
XXX,A,"Sparadigm Shift",8,11,10,32,11,10,32,0,0,0,8,0
XXX,A,"Vandal-Lane Industries",9,9.5,7,26,12.5,7,32,3,0,6,8,1
XXX,A,"Bowl'd Peanuts",10,7,10,24,7,10,24,0,0,0,10,0
XXX,B,"Gutter Mouths",1,19,15,53,19,15,53,0,0,0,1,0
XXX,B,"Pin-Ups",2,17,16,50,16,16,48,-1,0,-2,3,-1
XXX,B,"Alley Oops",3,14,20,48,14,21,49,0,1,1,2,1
XXX,B,"Lucky Strikes",4,15,16,46,16,15,47,1,-1,1,4,0
XXX,B,"Fancy Pants",5,15,14,44,15,14,44,0,0,0,5,0
XXX,B,"E-Bowla",6,13,12,38,12,12,36,-1,0,-2,7,-1
XXX,B,"Stinky Cheese",7,12,12,36,12,13,37,0,1,1,6,1
XXX,B,"Gutterglory",8,12,11,35,11,11,33,-1,0,-2,8,0
XXX,B,"Hot Shotz",9,11,12,34,10,12,32,-1,0,-2,9,0
XXX,B,"Smoke-A-Bowl",10,7,8,22,10,9,29,3,1,7,10,0
XXXI,A,"Bowl Durham",1,20,16,56,20,17,57,0,1,1,1,0
XXXI,A,"Valley of the Balls",2,15,20,50,14.5,19,48,-0.5,-1,-2,3,-1
XXXI,A,"E-Bowla",3,17,15,49,17,15,49,0,0,0,2,1
XXXI,A,"Lucky Strikes",4,13,16,42,13,16,42,0,0,0,4,0
XXXI,A,"Gutterglory",5,12.5,15,40,13,15,41,0.5,0,1,5,0
XXXI,A,"Vandal-Lane Industries",5,13,14,40,13,14,40,0,0,0,6,-1
XXXI,A,"Pin-Ups",7,13,13,39,13,14,40,0,1,1,6,1
XXXI,A,"Stinky Cheese",8,12,13,37,12,13,37,0,0,0,8,0
XXXI,A,"The Boom Kings",9,9.5,16,35,9.5,14,33,0,-2,-2,10,-1
XXXI,A,"Smoke-A-Bowl",10,10,14,34,10,15,35,0,1,1,9,1
XXXI,B,"Wolf Splitzers",1,16.5,17,50,16,17,49,-0.5,0,-1,1,0
XXXI,B,"Hot Shotz",2,18,12,48,17,11,45,-1,-1,-3,4,-2
XXXI,B,"Sparadigm Shift",2,16,16,48,16,17,49,0,1,1,1,1
XXXI,B,"Gutter Mouths",4,14.5,18,47,15,18,48,0.5,0,1,3,1
XXXI,B,"Wild Llamas",5,15.5,13,44,16,13,45,0.5,0,1,4,1
XXXI,B,"Fancy Pants",6,12.5,10,35,14,10,38,1.5,0,3,6,0
XXXI,B,"Alley Oops",6,12,11,35,13,10,36,1,-1,1,8,-2
XXXI,B,"Guttersnipes",8,11.5,11,34,13,11,37,1.5,0,3,7,1
XXXI,B,"Grandma's Teeth",9,11,11,33,11,11,33,0,0,0,9,0
XXXI,B,"Bowl'd Peanuts",10,0,0,0,,,,,,,,
XXXII,A,"Pin-Ups",1,18,15,51,17.5,15,50,-0.5,0,-1,1,0
XXXII,A,"The Boom Kings",2,15.5,15,46,16,14,46,0.5,-1,0,3,-1
XXXII,A,"Gutter Mouths",2,17,12,46,17.5,12,47,0.5,0,1,2,0
XXXII,A,"Vandal-Lane Industries",4,13,18,44,13,18,44,0,0,0,4,0
XXXII,A,"E-Bowla",5,14.5,14,43,15,14,44,0.5,0,1,4,1
XXXII,A,"Alley Oops",6,12,14,38,12.5,14,39,0.5,0,1,6,0
XXXII,A,"Guttersnipes",7,13.5,10,37,12.5,10,35,-1,0,-2,8,-1
XXXII,A,"Bowl Durham",8,14,8,36,14,8,36,0,0,0,7,1
XXXII,A,"Hot Shotz",9,11,13,35,11,13,35,0,0,0,8,1
XXXII,A,"Bowl'd Peanuts",10,0,0,0,,,,,,,,
XXXII,B,"Stinky Cheese",1,19.5,23,62,19.5,23,62,0,0,0,1,0
XXXII,B,"Grandma's Teeth",2,16,21,53,16,21,53,0,0,0,2,0
XXXII,B,"Lucky Strikes",3,15,17,47,15,17,47,0,0,0,3,0
XXXII,B,"Wild Llamas",4,14,16,44,13,16,42,-1,0,-2,6,-2
XXXII,B,"Valley of the Balls",4,15,14,44,15,14,44,0,0,0,4,0
XXXII,B,"Gutterglory",6,14,14,42,12,14,38,-2,0,-4,7,-1
XXXII,B,"Sparadigm Shift",7,14.5,11,40,16.5,11,44,2,0,4,4,3
XXXII,B,"Thoughts and Spares",8,10,16,36,10,16,36,0,0,0,8,0
XXXII,B,"Fancy Pants",9,11,10,32,11,10,32,0,0,0,9,0
XXXII,B,"Smoke-A-Bowl",10,6,11,23,7,10,24,1,-1,1,10,0
XXXIII,A,"E-Bowla",1,19,16,54,19,16,54,0,0,0,1,0
XXXIII,A,"Smoke-A-Bowl",2,16,17,49,16,16,48,0,-1,-1,2,0
XXXIII,A,"Grandma's Teeth",3,15,15,45,15,15,45,0,0,0,3,0
XXXIII,A,"Guttersnipes",4,12.5,17,42,12,16,40,-0.5,-1,-2,4,0
XXXIII,A,"Wild Llamas",5,12,16,40,12,16,40,0,0,0,4,1
XXXIII,A,"Gutterglory",6,12,13,37,12,13,37,0,0,0,7,-1
XXXIII,A,"Pin-Ups",6,13,11,37,13,10,36,0,-1,-1,8,-2
XXXIII,A,"Thoughts and Spares",8,11,14,36,11,14,36,0,0,0,8,0
XXXIII,A,"Gutter Mouths",8,12.5,11,36,13,12,38,0.5,1,2,6,2
XXXIII,A,"Hot Shotz",8,12,12,36,12,12,36,0,0,0,8,0
XXXIII,B,"Stinky Cheese",1,21,16,58,21,16,58,0,0,0,1,0
XXXIII,B,"Bowlonomics",2,17,20,54,17,20,54,0,0,0,2,0
XXXIII,B,"Vandal-Lane Industries",3,17,13,47,16,12,44,-1,-1,-3,3,0
XXXIII,B,"Fancy Pants",4,13,13,39,13,13,39,0,0,0,5,-1
XXXIII,B,"Lucky Strikes",4,13,13,39,12.5,12,37,-0.5,-1,-2,6,-2
XXXIII,B,"Bowl Durham",6,12,12,36,13,14,40,1,2,4,4,2
XXXIII,B,"Alley Oops",7,10,14,34,10,14,34,0,0,0,8,-1
XXXIII,B,"Sparadigm Shift",7,12,10,34,12,11,35,0,1,1,7,0
XXXIII,B,"The Boom Kings",9,10,10,30,10.5,10,31,0.5,0,1,9,0
XXXIII,B,"Valley of the Balls",10,10,8,28,10,8,28,0,0,0,10,0
XXXIV,A,"Bowlonomics",1,20,21,61,20,21,61,0,0,0,1,0
XXXIV,A,"Grandma's Teeth",2,17,21,55,17,21,55,0,0,0,2,0
XXXIV,A,"Valley of the Balls",3,15,12,42,15,12,42,0,0,0,3,0
XXXIV,A,"Guttermouths",3,13,16,42,13,16,42,0,0,0,3,0
XXXIV,A,"Bowl Durham",5,15,10,40,15,10,40,0,0,0,5,0
XXXIV,A,"Gutterglory",6,12,15,39,12.5,15,40,0.5,0,1,5,1
XXXIV,A,"Fancy Pants",7,12,13,37,12,13,37,0,0,0,7,0
XXXIV,A,"E-Bowla",8,11,13,35,10.5,13,34,-0.5,0,-1,8,0
XXXIV,A,"Wild Llamas",9,10,14,34,10,14,34,0,0,0,8,1
XXXIV,A,"Sparadigm Shift",9,10,14,34,10,14,34,0,0,0,8,1
XXXIV,B,"Guttersnipes",1,18.5,16,53,18.5,16,53,0,0,0,1,0
XXXIV,B,"Pin-Ups",2,16,18,50,15.5,18,49,-0.5,0,-1,2,0
XXXIV,B,"Smoke-A-Bowl",3,16,16,48,16,16,48,0,0,0,3,0
XXXIV,B,"Stinky Cheese",3,16.5,15,48,16.5,15,48,0,0,0,3,0
XXXIV,B,"Lucky Strikes",5,16,12,44,16,12,44,0,0,0,5,0
XXXIV,B,"Thoughts and Spares",6,12,9,33,12,9,33,0,0,0,6,0
XXXIV,B,"The Boom Kings",7,11,10,32,11,10,32,0,0,0,8,-1
XXXIV,B,"Living on a Spare",8,11,8,30,11.5,10,33,0.5,2,3,6,2
XXXIV,B,"Hot Shotz",9,9.5,8,27,9.5,8,27,0,0,0,9,0
XXXIV,B,"Alley Oops",10,8.5,9,26,8.5,7,24,0,-2,-2,10,0
XXXV,A,"Smoke-A-Bowl",1,7,4,18,7,4,18,0,0,0,1,0
XXXV,A,"Valley of the Balls",1,6,6,18,6,6,18,0,0,0,1,0
XXXV,A,"Thoughts and Spares",3,6,5,17,6,5,17,0,0,0,3,0
XXXV,A,"Bowl Durham",4,5,5,15,5,5,15,0,0,0,4,0
XXXV,A,"HOT FUN",5,5,4,14,5,4,14,0,0,0,5,0
XXXV,A,"Fancy Pants",6,4,4,12,4,4,12,0,0,0,6,0
XXXV,A,"Living on a Spare",7,3,5,11,3,4,10,0,-1,-1,7,0
XXXV,A,"Alley Oops",8,3,4,10,3,4,10,0,0,0,7,1
XXXV,A,"Wild Llamas",9,3,3,9,3,3,9,0,0,0,9,0
XXXV,A,"Pin-Ups",9,3,3,9,3,3,9,0,0,0,9,0
XXXV,B,"Hot Shotz",1,9,5,23,9,5,23,0,0,0,1,0
XXXV,B,"Guttermouths",2,6,7,19,6,7,19,0,0,0,2,0
XXXV,B,"E-Bowla",3,5.5,5,16,5.5,5,16,0,0,0,3,0
XXXV,B,"Stinky Cheese",4,5,4,14,5,4,14,0,0,0,4,0
XXXV,B,"Grandma's Teeth",4,5,4,14,5,4,14,0,0,0,4,0
XXXV,B,"Sparadigm Shift",6,2,9,13,2,9,13,0,0,0,6,0
XXXV,B,"The Boom Kings",7,4,4,12,4,4,12,0,0,0,7,0
XXXV,B,"Lucky Strikes",8,3,5,11,3,5,11,0,0,0,8,0
XXXV,B,"Gutterglory",9,3.5,3,10,3.5,3,10,0,0,0,9,0
XXXV,B,"Guttersnipes",10,2,2,6,2,2,6,0,0,0,10,0